公牛ID (Bull_ID),母牛ID (Cow_ID),后代近交系数 (Inbreeding_Coefficient)
HO840M3275375277,220933,0
HO840M3250025924,220933,0.0234375
HO840M3252198074,220933,0
HO840M3269404443,220934,0
HO840M3269404786,220934,0
HO840M3275375277,220934,0
HO840M3250025924,220934,0
HO840M3252198074,220934,0
HO840M3269404443,220935,0
HO840M3269404786,220935,0.109375
HO840M3275375277,220935,0
HO840M3250025924,220935,0
HO840M3252198074,220935,0
HO840M3269404443,220938,0
HO840M3269404786,220938,0
HO840M3275375277,220938,0
HO840M3250025924,220938,0
HO840M3252198074,220938,0
HO840M3269404443,220939,0
HO840M3269404786,220939,0
HO840M3275375277,220939,0
HO840M3250025924,220939,0
HO840M3252198074,220939,0
HO840M3269404443,220941,0
HO840M3269404786,220941,0
HO840M3275375277,220941,0
HO840M3250025924,220941,0.0234375
HO840M3252198074,220941,0
HO840M3269404443,220949,0
HO840M3269404786,220949,0
HO840M3275375277,220949,0
HO840M3250025924,220949,0
HO840M3252198074,220949,0
HO840M3269404443,220952,0
HO840M3269404786,220952,0
HO840M3275375277,220952,0
HO840M3250025924,220952,0
HO840M3252198074,220952,0
HO840M3269404443,220953,0
HO840M3269404786,220953,0
HO840M3275375277,220953,0
HO840M3250025924,220953,0
HO840M3252198074,220953,0
HO840M3269404443,220958,0
HO840M3269404786,220958,0.05078125
HO840M3275375277,220958,0
HO840M3250025924,220958,0
HO840M3252198074,220958,0
HO840M3269404443,220960,0
HO840M3269404786,220960,0.046875
HO840M3275375277,220960,0
HO840M3250025924,220960,0
HO840M3252198074,220960,0
HO840M3269404443,220963,0
HO840M3269404786,220963,0.046875
HO840M3275375277,220963,0
HO840M3250025924,220963,0
HO840M3252198074,220963,0
HO840M3269404443,220964,0
HO840M3269404786,220964,0
HO840M3275375277,220964,0
HO840M3250025924,220964,0
HO840M3252198074,220964,0
HO840M3269404443,220965,0
HO840M3269404786,220965,0
HO840M3275375277,220965,0
HO840M3250025924,220965,0
HO840M3252198074,220965,0
HO840M3269404443,220967,0
HO840M3269404786,220967,0
HO840M3275375277,220967,0
HO840M3250025924,220967,0.0234375
HO840M3252198074,220967,0
HO840M3269404443,220968,0
HO840M3269404786,220968,0
HO840M3275375277,220968,0
HO840M3250025924,220968,0
HO840M3252198074,220968,0
HO840M3269404443,220969,0
HO840M3269404786,220969,0
HO840M3275375277,220969,0
HO840M3250025924,220969,0
HO840M3252198074,220969,0
HO840M3269404443,220970,0
HO840M3269404786,220970,0.046875
HO840M3275375277,220970,0
HO840M3250025924,220970,0
HO840M3252198074,220970,0
HO840M3269404443,220971,0
HO840M3269404786,220971,0
HO840M3275375277,220971,0
HO840M3250025924,220971,0
HO840M3252198074,220971,0
HO840M3269404443,220972,0
HO840M3269404786,220972,0
HO840M3275375277,220972,0
HO840M3250025924,220972,0
HO840M3252198074,220972,0
HO840M3269404443,220973,0
HO840M3269404786,220973,0
HO840M3275375277,220973,0
HO840M3250025924,220973,0
HO840M3252198074,220973,0
HO840M3269404443,220976,0
HO840M3269404786,220976,0
HO840M3275375277,220976,0
HO840M3250025924,220976,0
HO840M3252198074,220976,0
HO840M3269404443,220977,0
HO840M3269404786,220977,0.046875
HO840M3275375277,220977,0
HO840M3250025924,220977,0
HO840M3252198074,220977,0
HO840M3269404443,220978,0
HO840M3269404786,220978,0
HO840M3275375277,220978,0
HO840M3250025924,220978,0
HO840M3252198074,220978,0
HO840M3269404443,220980,0
HO840M3269404786,220980,0
HO840M3275375277,220980,0
HO840M3250025924,220980,0
HO840M3252198074,220980,0
HO840M3269404443,220981,0
HO840M3269404786,220981,0
HO840M3275375277,220981,0
HO840M3250025924,220981,0
HO840M3252198074,220981,0
HO840M3269404443,220982,0
HO840M3269404786,220982,0
HO840M3275375277,220982,0
HO840M3250025924,220982,0
HO840M3252198074,220982,0
HO840M3269404443,220983,0
HO840M3269404786,220983,0
HO840M3275375277,220983,0
HO840M3250025924,220983,0
HO840M3252198074,220983,0
HO840M3269404443,220984,0
HO840M3269404786,220984,0
HO840M3275375277,220984,0
HO840M3250025924,220984,0
HO840M3252198074,220984,0
HO840M3269404443,220985,0
HO840M3269404786,220985,0
HO840M3275375277,220985,0
HO840M3250025924,220985,0
HO840M3252198074,220985,0
HO840M3269404443,220986,0
HO840M3269404786,220986,0.046875
HO840M3275375277,220986,0
HO840M3250025924,220986,0
HO840M3252198074,220986,0
HO840M3269404443,220987,0
HO840M3269404786,220987,0
HO840M3275375277,220987,0
HO840M3250025924,220987,0
HO840M3252198074,220987,0
HO840M3269404443,220988,0
HO840M3269404786,220988,0
HO840M3275375277,220988,0
HO840M3250025924,220988,0
HO840M3252198074,220988,0
HO840M3269404443,220989,0
HO840M3269404786,220989,0
HO840M3275375277,220989,0
HO840M3250025924,220989,0
HO840M3252198074,220989,0
HO840M3269404443,220991,0
HO840M3269404786,220991,0
HO840M3275375277,220991,0
HO840M3250025924,220991,0
HO840M3252198074,220991,0
HO840M3269404443,220993,0
HO840M3269404786,220993,0
HO840M3275375277,220993,0
HO840M3250025924,220993,0
HO840M3252198074,220993,0
HO840M3269404443,220994,0
HO840M3269404786,220994,0.046875
HO840M3275375277,220994,0
HO840M3250025924,220994,0
HO840M3252198074,220994,0
HO840M3269404443,220995,0
HO840M3269404786,220995,0
HO840M3275375277,220995,0
HO840M3250025924,220995,0
HO840M3252198074,220995,0
HO840M3269404443,220996,0
HO840M3269404786,220996,0
HO840M3275375277,220996,0
HO840M3250025924,220996,0
HO840M3252198074,220996,0
HO840M3269404443,220997,0
HO840M3269404786,220997,0
HO840M3275375277,220997,0
HO840M3250025924,220997,0
HO840M3252198074,220997,0
HO840M3269404443,220998,0
HO840M3269404786,220998,0
HO840M3275375277,220998,0
HO840M3250025924,220998,0
HO840M3252198074,220998,0
HO840M3269404443,221000,0
HO840M3269404786,221000,0
HO840M3275375277,221000,0
HO840M3250025924,221000,0
HO840M3252198074,221000,0
HO840M3269404443,221001,0
HO840M3269404786,221001,0
HO840M3275375277,221001,0
HO840M3250025924,221001,0
HO840M3252198074,221001,0
HO840M3269404443,221003,0
HO840M3269404786,221003,0
HO840M3275375277,221003,0
HO840M3250025924,221003,0
HO840M3252198074,221003,0
HO840M3269404443,221005,0
HO840M3269404786,221005,0
HO840M3275375277,221005,0
HO840M3250025924,221005,0
HO840M3252198074,221005,0
HO840M3269404443,221006,0
HO840M3269404786,221006,0
HO840M3275375277,221006,0
HO840M3250025924,221006,0
HO840M3252198074,221006,0
HO840M3269404443,221010,0
HO840M3269404786,221010,0
HO840M3275375277,221010,0
HO840M3250025924,221010,0
HO840M3252198074,221010,0
HO840M3269404443,221011,0
HO840M3269404786,221011,0.046875
HO840M3275375277,221011,0
HO840M3250025924,221011,0
HO840M3252198074,221011,0
HO840M3269404443,221012,0
HO840M3269404786,221012,0
HO840M3275375277,221012,0
HO840M3250025924,221012,0
HO840M3252198074,221012,0
HO840M3269404443,221014,0
HO840M3269404786,221014,0
HO840M3275375277,221014,0
HO840M3250025924,221014,0
HO840M3252198074,221014,0
HO840M3269404443,221015,0
HO840M3269404786,221015,0
HO840M3275375277,221015,0
HO840M3250025924,221015,0
HO840M3252198074,221015,0
HO840M3269404443,221016,0
HO840M3269404786,221016,0
HO840M3275375277,221016,0
HO840M3250025924,221016,0
HO840M3252198074,221016,0
HO840M3269404443,221017,0
HO840M3269404786,221017,0
HO840M3275375277,221017,0
HO840M3250025924,221017,0
HO840M3252198074,221017,0
HO840M3269404443,221019,0
HO840M3269404786,221019,0.046875
HO840M3275375277,221019,0
HO840M3250025924,221019,0
HO840M3252198074,221019,0
HO840M3269404443,221021,0
HO840M3269404786,221021,0
HO840M3275375277,221021,0
HO840M3250025924,221021,0
HO840M3252198074,221021,0
HO840M3269404443,221026,0
HO840M3269404786,221026,0
HO840M3275375277,221026,0
HO840M3250025924,221026,0
HO840M3252198074,221026,0
HO840M3269404443,221027,0
HO840M3269404786,221027,0
HO840M3275375277,221027,0
HO840M3250025924,221027,0
HO840M3252198074,221027,0
HO840M3269404443,221028,0
HO840M3269404786,221028,0.046875
HO840M3275375277,221028,0
HO840M3250025924,221028,0
HO840M3252198074,221028,0
HO840M3269404443,221029,0
HO840M3269404786,221029,0
HO840M3275375277,221029,0
HO840M3250025924,221029,0
HO840M3252198074,221029,0
HO840M3269404443,221030,0
HO840M3269404786,221030,0
HO840M3275375277,221030,0
HO840M3250025924,221030,0
HO840M3252198074,221030,0
HO840M3269404443,221031,0
HO840M3269404786,221031,0
HO840M3275375277,221031,0
HO840M3250025924,221031,0
HO840M3252198074,221031,0
HO840M3269404443,221032,0
HO840M3269404786,221032,0
HO840M3275375277,221032,0
HO840M3250025924,221032,0
HO840M3252198074,221032,0
HO840M3269404443,221034,0.0234375
HO840M3269404786,221034,0
HO840M3275375277,221034,0
HO840M3250025924,221034,0
HO840M3252198074,221034,0
HO840M3269404443,221036,0
HO840M3269404786,221036,0.046875
HO840M3275375277,221036,0
HO840M3250025924,221036,0
HO840M3252198074,221036,0
HO840M3269404443,221037,0
HO840M3269404786,221037,0
HO840M3275375277,221037,0
HO840M3250025924,221037,0
HO840M3252198074,221037,0
HO840M3269404443,221038,0
HO840M3269404786,221038,0
HO840M3275375277,221038,0
HO840M3250025924,221038,0
HO840M3252198074,221038,0
HO840M3269404443,221040,0
HO840M3269404786,221040,0
HO840M3275375277,221040,0
HO840M3250025924,221040,0
HO840M3252198074,221040,0
HO840M3269404443,221041,0
HO840M3269404786,221041,0
HO840M3275375277,221041,0
HO840M3250025924,221041,0
HO840M3252198074,221041,0
HO840M3269404443,221042,0
HO840M3269404786,221042,0.046875
HO840M3275375277,221042,0
HO840M3250025924,221042,0
HO840M3252198074,221042,0
HO840M3269404443,221043,0
HO840M3269404786,221043,0
HO840M3275375277,221043,0
HO840M3250025924,221043,0
HO840M3252198074,221043,0
HO840M3269404443,221044,0
HO840M3269404786,221044,0
HO840M3275375277,221044,0
HO840M3250025924,221044,0
HO840M3252198074,221044,0
HO840M3269404443,221046,0
HO840M3269404786,221046,0.046875
HO840M3275375277,221046,0
HO840M3250025924,221046,0
HO840M3252198074,221046,0
HO840M3269404443,221051,0
HO840M3269404786,221051,0
HO840M3275375277,221051,0
HO840M3250025924,221051,0
HO840M3252198074,221051,0
HO840M3269404443,221055,0
HO840M3269404786,221055,0
HO840M3275375277,221055,0
